customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,mean,median,min,max,maxweek,routine_flg,membership_period
OA832399,XXXX,C01,F,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,4.833333333333333,5,2,8,4,1,48.666666666666664
PL270116,XXXXX,C01,M,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,5.083333333333333,5,3,7,5,1,48.666666666666664
OA974876,XXXXX,C01,M,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,4.583333333333333,5,3,6,5,1,48.666666666666664
HD024127,XXXXX,C01,F,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,4.833333333333333,4.5,2,7,5,1,48.666666666666664
HD661448,XXXXX,C03,F,2015-05-01T00:00:00Z,NA,CA1,0,ナイト,6000,通常,3.9166666666666665,4,1,6,5,1,48.666666666666664
IK271057,XXXXX,C01,M,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,3.75,3.5,2,5,4,1,48.666666666666664
HI324666,XXXXX,C01,M,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,3.9166666666666665,3.5,2,7,4,1,48.666666666666664
AS647421,XXXXX,C01,F,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,4.5,4,2,9,5,1,48.666666666666664
AS069821,XXXXXX,C03,F,2015-05-01T00:00:00Z,NA,CA1,0,ナイト,6000,通常,4.083333333333333,3.5,2,7,4,1,48.666666666666664
GD039425,XXXXX,C01,F,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,4.666666666666667,4.5,3,7,5,1,48.666666666666664
OA789036,XXXXX,C02,F,2015-05-01T00:00:00Z,NA,CA1,0,デイタイム,7500,通常,4.75,5,1,7,5,1,48.666666666666664
AS058623,XXXXX,C01,F,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,4.5,5,3,6,5,1,48.666666666666664
AS857207,XXXXX,C02,F,2015-05-01T00:00:00Z,NA,CA1,0,デイタイム,7500,通常,4.5,5,2,8,5,1,48.666666666666664
AS625883,XXXX,C02,F,2015-05-01T00:00:00Z,NA,CA1,0,デイタイム,7500,通常,4.75,5,2,6,5,1,48.666666666666664
HD782984,XXXXX,C02,F,2015-05-01T00:00:00Z,NA,CA1,0,デイタイム,7500,通常,4.833333333333333,5,2,7,5,1,48.666666666666664
HI804186,XXXX,C02,F,2015-05-01T00:00:00Z,NA,CA1,0,デイタイム,7500,通常,4.833333333333333,5,2,7,5,1,48.666666666666664
AS732240,XXXXX,C02,F,2015-05-01T00:00:00Z,NA,CA1,0,デイタイム,7500,通常,4.666666666666667,5,2,7,5,1,48.666666666666664
PL834411,XXXXX,C03,F,2015-05-01T00:00:00Z,NA,CA1,0,ナイト,6000,通常,4.916666666666667,4.5,1,8,5,1,48.666666666666664
HD516059,XXX,C03,M,2015-05-01T00:00:00Z,NA,CA1,0,ナイト,6000,通常,4.166666666666667,4,1,7,4,1,48.666666666666664
HD194702,XXXX,C02,F,2015-05-01T00:00:00Z,NA,CA1,0,デイタイム,7500,通常,4.916666666666667,5,1,8,5,1,48.666666666666664
IK102369,XXXX,C01,M,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,4.75,5,3,6,5,1,48.666666666666664
AS183155,XXXXX,C03,F,2015-05-01T00:00:00Z,NA,CA1,0,ナイト,6000,通常,4.5,4.5,2,7,5,1,48.666666666666664
HI339146,XXXXX,C01,F,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,4.5,4.5,2,7,4,1,48.666666666666664
AS476267,XXXXX,C02,F,2015-05-01T00:00:00Z,NA,CA1,0,デイタイム,7500,通常,4.916666666666667,5,3,7,5,1,48.666666666666664
PL928545,XXXXXX,C02,F,2015-05-01T00:00:00Z,NA,CA1,0,デイタイム,7500,通常,4.333333333333333,4,2,7,4,1,48.666666666666664
OA372777,XXXXX,C03,M,2015-05-01T00:00:00Z,NA,CA1,0,ナイト,6000,通常,3.6666666666666665,4,1,6,5,1,48.666666666666664
PL765022,XXX,C01,M,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,4.583333333333333,4.5,3,7,5,1,48.666666666666664
OA803393,XXXX,C01,M,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,4.75,4.5,2,8,5,1,48.666666666666664
OA071756,XXX,C01,M,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,4.166666666666667,4,2,6,5,1,48.666666666666664
HI598974,XXX,C03,M,2015-05-01T00:00:00Z,NA,CA1,0,ナイト,6000,通常,5.083333333333333,5,3,7,5,1,48.666666666666664
GD214739,XXXX,C01,M,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,5.416666666666667,5,3,8,5,1,48.666666666666664
OA557824,XXX,C02,F,2015-05-01T00:00:00Z,NA,CA1,0,デイタイム,7500,通常,4.25,4,1,8,4,1,48.666666666666664
IK098074,XX,C01,F,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,4.083333333333333,3.5,1,7,5,1,48.666666666666664
HD792156,XXXX,C01,F,2015-05-01T00:00:00Z,NA,CA1,0,オールタイム,10500,通常,4.666666666666667,5,2,7,5,1,48.666666666666664
